#ID = transcript_cluster_id
#RANGE_STRAND = strand  (+|-)
#RANGE_START = start  (integer). Coordinates are standard 1-based (length=stop-start+1).
#RANGE_END = 
#total_probes = Total number of probes contained by this transcript cluster.
#GB_ACC = GenBank and RefSeq Accessions from mrna_assignment column
#SPOT_ID = genomic location of the transcript cluster in the version of the genome assembly used at annotation time. Coordinates are standard 1-based (length=stop-start+1).
#RANGE_GB = NCBI RefSeq for chromosome of current build
ID	RANGE_STRAND	RANGE_START	RANGE_END	total_probes	GB_ACC	SPOT_ID	RANGE_GB
16657793	+	1407143	1433228	8		chr1:1407143-1433228	NC_000001.10
16657821	+	1447523	1470067	9		chr1:1447523-1470067	NC_000001.10
16657845	+	1510355	1511373	23		chr1:1510355-1511373	NC_000001.10
16657848	+	1533413	1545864	22		chr1:1533413-1545864	NC_000001.10
16657856	+	1550795	1565990	25	NM_080875	chr1:1550795-1565990	NC_000001.10
16657895	+	1567474	1570639	13	NM_006983	chr1:1567474-1570639	NC_000001.10
16657910	+	1631378	1633247	30	NR_002946	chr1:1631378-1633247	NC_000001.10
16657917	+	1656054	1663343	24		chr1:1656054-1663343	NC_000001.10
16657920	+	1663993	1667414	20		chr1:1663993-1667414	NC_000001.10
16657923	+	1822910	1824097	15		chr1:1822910-1824097	NC_000001.10
16657926	+	1846266	1848735	21	NM_138705	chr1:1846266-1848735	NC_000001.10
16657938	+	1950768	1962192	19		chr1:1950768-1962192	NC_000001.10
16657948	+	1981909	2116834	34		chr1:1981909-2116834	NC_000001.10
16657993	+	2160134	2241652	22	NM_003036	chr1:2160134-2241652	NC_000001.10
16658005	+	2323214	2336883	26	NM_007033	chr1:2323214-2336883	NC_000001.10
16658020	+	2357419	2362089	19		chr1:2357419-2362089	NC_000001.10
16658023	+	2398898	2436969	22		chr1:2398898-2436969	NC_000001.10
16658058	+	2482415	2486841	22	NR_026927	chr1:2482415-2486841	NC_000001.10
16658064	+	2487078	2497061	18		chr1:2487078-2497061	NC_000001.10
16658097	+	2497849	2508811	9		chr1:2497849-2508811	NC_000001.10
16658102	+	2512999	2515972	25		chr1:2512999-2515972	NC_000001.10
16658106	+	2517899	2522908	18		chr1:2517899-2522908	NC_000001.10
16658119	+	2564007	2568059	21		chr1:2564007-2568059	NC_000001.10
16658122	+	2693739	2695364	20		chr1:2693739-2695364	NC_000001.10
16658125	+	2730632	2734321	19		chr1:2730632-2734321	NC_000001.10
16658129	+	2938046	2939467	17	NM_080431	chr1:2938046-2939467	NC_000001.10
16658135	+	2985732	3355185	30	NM_022114	chr1:2985732-3355185	NC_000001.10
16658157	+	3044539	3044599	11	NR_036215	chr1:3044539-3044599	NC_000001.10
16658159	+	3370990	3397677	34	NM_014448	chr1:3370990-3397677	NC_000001.10
16658184	+	3541556	3546695	17	NM_182752	chr1:3541556-3546695	NC_000001.10
16658192	+	3569084	3652765	24	NM_005427	chr1:3569084-3652765	NC_000001.10
16658210	+	3668962	3688209	20	NM_152492	chr1:3668962-3688209	NC_000001.10
16658226	+	3689352	3692546	22	NM_001163724	chr1:3689352-3692546	NC_000001.10
16658231	+	3773845	3801993	20		chr1:3773845-3801993	NC_000001.10
16658248	+	3816936	3833789	23	NR_024455	chr1:3816936-3833789	NC_000001.10
16658254	+	4000672	4015322	21	NR_040065	chr1:4000672-4015322	NC_000001.10
16658259	+	4036189	4069751	18		chr1:4036189-4069751	NC_000001.10
16658265	+	4192617	4194185	23		chr1:4192617-4194185	NC_000001.10
16658268	+	4472111	4484747	16		chr1:4472111-4484747	NC_000001.10
16658278	+	4611795	4612205	17		chr1:4611795-4612205	NC_000001.10
16658281	+	4631587	4653707	21		chr1:4631587-4653707	NC_000001.10
16658289	+	4714792	4843851	24	NM_018836	chr1:4714792-4843851	NC_000001.10
16658300	+	5058062	5080898	26		chr1:5058062-5080898	NC_000001.10
16658309	+	5550602	5551645	24		chr1:5550602-5551645	NC_000001.10
16658312	+	6051526	6161253	29		chr1:6051526-6161253	NC_000001.10
16658350	+	6265535	6281359	18	NM_207396	chr1:6265535-6281359	NC_000001.10
16658379	+	6296300	6299504	18		chr1:6296300-6299504	NC_000001.10
16658385	+	6304252	6305638	24	NM_001024598	chr1:6304252-6305638	NC_000001.10
16658390	+	6484848	6521430	11	NM_031475	chr1:6484848-6521430	NC_000001.10
16658412	+	6600914	6601024	8		chr1:6600914-6601024	NC_000001.10
16658414	+	6615241	6639817	24		chr1:6615241-6639817	NC_000001.10
16658428	+	6640061	6649340	30	NM_005341	chr1:6640061-6649340	NC_000001.10
16658449	+	6673745	6684093	21	NM_153812	chr1:6673745-6684093	NC_000001.10
16658457	+	6684925	6695646	17		chr1:6684925-6695646	NC_000001.10
16658471	+	6784697	6790072	27		chr1:6784697-6790072	NC_000001.10
16658477	+	6812779	6812881	11		chr1:6812779-6812881	NC_000001.10
16658479	+	6845384	7829766	48	NM_015215	chr1:6845384-7829766	NC_000001.10
16658523	+	7279420	7279584	9		chr1:7279420-7279584	NC_000001.10
16658525	+	7429003	7430331	16		chr1:7429003-7430331	NC_000001.10
16658528	+	7831329	7841492	24	NM_004781	chr1:7831329-7841492	NC_000001.10
16658536	+	7844380	7905237	25	NM_016831	chr1:7844380-7905237	NC_000001.10
16658568	+	8014351	8045565	23	NM_007262	chr1:8014351-8045565	NC_000001.10
16658584	+	8086798	8185235	22		chr1:8086798-8185235	NC_000001.10
16658589	+	8268732	8275270	21		chr1:8268732-8275270	NC_000001.10
16658594	+	8377886	8404227	28		chr1:8377886-8404227	NC_000001.10
16658607	+	8388127	8388239	19		chr1:8388127-8388239	NC_000001.10
16658609	+	8484705	8494898	15		chr1:8484705-8494898	NC_000001.10
16658616	+	8865919	8867110	14		chr1:8865919-8867110	NC_000001.10
16658619	+	8938894	8939953	23	NR_038351	chr1:8938894-8939953	NC_000001.10
16658622	+	9005922	9035151	24	NM_001215	chr1:9005922-9035151	NC_000001.10
16658639	+	9142755	9142938	11		chr1:9142755-9142938	NC_000001.10
16658641	+	9242271	9243855	15		chr1:9242271-9243855	NC_000001.10
16658644	+	9294863	9331396	22	NM_004285	chr1:9294863-9331396	NC_000001.10
16658653	+	9338450	9338592	10		chr1:9338450-9338592	NC_000001.10
16658655	+	9352939	9429591	24	NM_025106	chr1:9352939-9429591	NC_000001.10
16658664	+	9599528	9642831	25		chr1:9599528-9642831	NC_000001.10
16658674	+	9648932	9675300	26	NM_001130924	chr1:9648932-9675300	NC_000001.10
16658690	+	9711790	9789172	25		chr1:9711790-9789172	NC_000001.10
16658726	+	9908376	9910212	22		chr1:9908376-9910212	NC_000001.10
16658730	+	9961518	9962174	16		chr1:9961518-9962174	NC_000001.10
16658733	+	10002981	10010032	18		chr1:10002981-10010032	NC_000001.10
16658736	+	10003486	10045559	19	NM_022787	chr1:10003486-10045559	NC_000001.10
16658750	+	10007376	10007694	17		chr1:10007376-10007694	NC_000001.10
16658752	+	10057255	10076078	18		chr1:10057255-10076078	NC_000001.10
16658758	+	10092890	10241335	34	NM_001105562	chr1:10092890-10241335	NC_000001.10
16658800	+	10223326	10223432	18		chr1:10223326-10223432	NC_000001.10
16658802	+	10270764	10441661	42	NM_015074	chr1:10270764-10441661	NC_000001.10
16658864	+	10458649	10480233	43	NM_002631	chr1:10458649-10480233	NC_000001.10
16658889	+	10490159	10512210	22		chr1:10490159-10512210	NC_000001.10
16658904	+	10516603	10520093	19		chr1:10516603-10520093	NC_000001.10
16658909	+	10532345	10690815	23	NM_004565	chr1:10532345-10690815	NC_000001.10
16658926	+	11072414	11085796	20	NM_007375	chr1:11072414-11085796	NC_000001.10
16658947	+	11128528	11133154	22		chr1:11128528-11133154	NC_000001.10
16658950	+	11159732	11162157	23	NM_001001998	chr1:11159732-11162157	NC_000001.10
16658954	+	11203955	11209594	20	NR_046600	chr1:11203955-11209594	NC_000001.10
16658960	+	11212407	11212509	9		chr1:11212407-11212509	NC_000001.10
16658962	+	11249398	11256038	26	NM_021146	chr1:11249398-11256038	NC_000001.10
16658971	+	11286311	11286417	8		chr1:11286311-11286417	NC_000001.10
16658973	+	11333255	11356106	29	NM_013319	chr1:11333255-11356106	NC_000001.10
16658982	+	11418037	11424587	18		chr1:11418037-11424587	NC_000001.10
16658987	+	11432762	11438744	23		chr1:11432762-11438744	NC_000001.10
16658991	+	11539223	11597641	18	NM_020780	chr1:11539223-11597641	NC_000001.10
16659017	+	11669588	11673412	19		chr1:11669588-11673412	NC_000001.10
16659021	+	11714432	11723384	17	NM_001014765	chr1:11714432-11723384	NC_000001.10
16659036	+	11724150	11734411	21	NM_018438	chr1:11724150-11734411	NC_000001.10
16659046	+	11751781	11785914	21	NM_198545	chr1:11751781-11785914	NC_000001.10
16659054	+	11796141	11814859	22	NM_001040196	chr1:11796141-11814859	NC_000001.10
16659070	+	11821844	11849642	35		chr1:11821844-11849642	NC_000001.10
16659102	+	11866207	11903201	24		chr1:11866207-11903201	NC_000001.10
16659133	+	11900376	11908136	20	NR_037806	chr1:11900376-11908136	NC_000001.10
16659138	+	11968209	11968329	16		chr1:11968209-11968329	NC_000001.10
16659140	+	11994262	12035599	19		chr1:11994262-12035599	NC_000001.10
16659171	+	12040238	12073572	23	NM_014874	chr1:12040238-12073572	NC_000001.10
16659200	+	12079299	12092106	24	NM_021933	chr1:12079299-12092106	NC_000001.10
16659217	+	12123434	12204264	27		chr1:12123434-12204264	NC_000001.10
16659238	+	12227060	12269285	24		chr1:12227060-12269285	NC_000001.10
16659251	+	12290113	12572099	70	NM_015378	chr1:12290113-12572099	NC_000001.10
16659338	+	12567300	12567451	25		chr1:12567300-12567451	NC_000001.10
16659340	+	12587486	12588702	19		chr1:12587486-12588702	NC_000001.10
16659343	+	12704566	12727097	20	NM_001013630	chr1:12704566-12727097	NC_000001.10
16659349	+	12776118	12788726	20	NM_001103170	chr1:12776118-12788726	NC_000001.10
16659355	+	12799693	12799796	8		chr1:12799693-12799796	NC_000001.10
16659357	+	12806163	12823847	24	NM_152290	chr1:12806163-12823847	NC_000001.10
16659366	+	12834984	12838049	10	NM_001080830	chr1:12834984-12838049	NC_000001.10
16659371	+	12851546	12856777	8		chr1:12851546-12856777	NC_000001.10
16659380	+	12916941	12921764	9	NM_023014	chr1:12916941-12921764	NC_000001.10
16659387	+	12976450	12980569	25	NM_001012276	chr1:12976450-12980569	NC_000001.10
16659393	+	12982374	12982480	25		chr1:12982374-12982480	NC_000001.10
16659395	+	13035543	13038381	9	NM_001100631	chr1:13035543-13038381	NC_000001.10
16659399	+	13140450	13145000	28	NM_001013407	chr1:13140450-13145000	NC_000001.10
16659404	+	13146777	13147256	10		chr1:13146777-13147256	NC_000001.10
16659407	+	13359819	13369057	25	NM_001013407	chr1:13359819-13369057	NC_000001.10
16659413	+	13421176	13428191	25	NM_001098376	chr1:13421176-13428191	NC_000001.10
16659419	+	13429634	13430107	26		chr1:13429634-13430107	NC_000001.10
16659422	+	13495254	13498260	9	NM_001045480	chr1:13495254-13498260	NC_000001.10
16659428	+	13516066	13526943	25	NM_001099852	chr1:13516066-13526943	NC_000001.10
16659434	+	13641973	13648988	25	NM_001098376	chr1:13641973-13648988	NC_000001.10
16659440	+	13650431	13650910	26		chr1:13650431-13650910	NC_000001.10
16659443	+	13716088	13719064	25	NM_001099851	chr1:13716088-13719064	NC_000001.10
16659449	+	13736907	13747803	25	NM_001099852	chr1:13736907-13747803	NC_000001.10
16659455	+	13839715	13842765	21		chr1:13839715-13842765	NC_000001.10
16659459	+	13909960	13944452	25	NM_001006624	chr1:13909960-13944452	NC_000001.10
16659475	+	13997965	14001403	23		chr1:13997965-14001403	NC_000001.10
16659478	+	14026693	14151574	30		chr1:14026693-14151574	NC_000001.10
16659501	+	14219052	14507087	22		chr1:14219052-14507087	NC_000001.10
16659505	+	14531974	14532868	15		chr1:14531974-14532868	NC_000001.10
16659508	+	14925200	15444544	21		chr1:14925200-15444544	NC_000001.10
16659537	+	15479028	15546974	20	NM_001136216	chr1:15479028-15546974	NC_000001.10
16659545	+	15573768	15726858	41	NM_052929	chr1:15573768-15726858	NC_000001.10
16659605	+	15736391	15757210	17		chr1:15736391-15757210	NC_000001.10
16659612	+	15764935	15775737	13	NM_007272	chr1:15764935-15775737	NC_000001.10
16659623	+	15783223	15798934	12		chr1:15783223-15798934	NC_000001.10
16659637	+	15802596	15817895	9		chr1:15802596-15817895	NC_000001.10
16659650	+	15853308	15918874	26		chr1:15853308-15918874	NC_000001.10
16659684	+	15868660	15868799	13		chr1:15868660-15868799	NC_000001.10
16659686	+	15943953	15995539	31		chr1:15943953-15995539	NC_000001.10
16659704	+	16010827	16061264	30		chr1:16010827-16061264	NC_000001.10
16659727	+	16062809	16067891	21		chr1:16062809-16067891	NC_000001.10
16659737	+	16068917	16074477	21	NM_001013641	chr1:16068917-16074477	NC_000001.10
16659746	+	16083102	16113089	25	NM_017556	chr1:16083102-16113089	NC_000001.10
16659765	+	16174359	16266955	31		chr1:16174359-16266955	NC_000001.10
16659786	+	16237392	16237492	10		chr1:16237392-16237492	NC_000001.10
16659788	+	16330731	16335302	17	NM_178840	chr1:16330731-16335302	NC_000001.10
16659794	+	16345330	16360545	12		chr1:16345330-16360545	NC_000001.10
16659825	+	16370247	16383803	9		chr1:16370247-16383803	NC_000001.10
16659853	+	16481706	16483824	23		chr1:16481706-16483824	NC_000001.10
16659856	+	16485761	16488378	20		chr1:16485761-16488378	NC_000001.10
16659859	+	16510023	16510657	20		chr1:16510023-16510657	NC_000001.10
16659862	+	16524349	16524852	19		chr1:16524349-16524852	NC_000001.10
16659865	+	16679040	16724640	23	NM_001114600	chr1:16679040-16724640	NC_000001.10
16659881	+	16767167	16786585	33	NM_018090	chr1:16767167-16786585	NC_000001.10
16659904	+	16787443	16794976	19		chr1:16787443-16794976	NC_000001.10
16659907	+	16847189	16848303	16		chr1:16847189-16848303	NC_000001.10
16659911	+	16862255	16864669	13		chr1:16862255-16864669	NC_000001.10
16659916	+	16875409	16875482	25	NR_037446	chr1:16875409-16875482	NC_000001.10
16659918	+	16946910	16951432	23		chr1:16946910-16951432	NC_000001.10
16659921	+	16972069	16977383	13	NR_027504	chr1:16972069-16977383	NC_000001.10
16659936	+	16999498	17000007	8	XM_001715369	chr1:16999498-17000007	NC_000001.10
16659938	+	17007750	17007823	25	NR_037446	chr1:17007750-17007823	NC_000001.10
16659944	+	17197440	17200587	8		chr1:17197440-17200587	NC_000001.10
16659951	+	17222232	17299474	22		chr1:17222232-17299474	NC_000001.10
16660006	+	17484692	17484779	8		chr1:17484692-17484779	NC_000001.10
16660008	+	17516278	17524112	18		chr1:17516278-17524112	NC_000001.10
16660014	+	17531621	17572501	30		chr1:17531621-17572501	NC_000001.10
16660038	+	17575593	17610728	21		chr1:17575593-17610728	NC_000001.10
16660057	+	17604384	17604470	14	NR_039768	chr1:17604384-17604470	NC_000001.10
16660059	+	17634690	17690499	24		chr1:17634690-17690499	NC_000001.10
16660081	+	17698691	17728195	22		chr1:17698691-17728195	NC_000001.10
16660098	+	17733256	17733878	22		chr1:17733256-17733878	NC_000001.10
16660101	+	17776259	17776359	11		chr1:17776259-17776359	NC_000001.10
16660103	+	17866330	18024370	26	NM_018125	chr1:17866330-18024370	NC_000001.10
16660145	+	18044182	18076473	16		chr1:18044182-18076473	NC_000001.10
16660151	+	18081808	18153558	25	NM_030812	chr1:18081808-18153558	NC_000001.10
16660156	+	18434240	18704977	23		chr1:18434240-18704977	NC_000001.10
16660172	+	18712323	18715008	21		chr1:18712323-18715008	NC_000001.10
16660175	+	18807424	18812534	27	NM_152375	chr1:18807424-18812534	NC_000001.10
16660182	+	18957500	19075360	25	NM_002584	chr1:18957500-19075360	NC_000001.10
16660196	+	19536907	19567198	20		chr1:19536907-19567198	NC_000001.10
16660199	+	19578033	19586622	24	NM_016183	chr1:19578033-19586622	NC_000001.10
16660212	+	19638740	19655794	20	NM_001040125	chr1:19638740-19655794	NC_000001.10
16660228	+	19658090	19660931	20		chr1:19658090-19660931	NC_000001.10
16660231	+	19837087	19837227	13		chr1:19837087-19837227	NC_000001.10
16660233	+	19852670	19858268	16		chr1:19852670-19858268	NC_000001.10
16660236	+	19923471	19984949	43		chr1:19923471-19984949	NC_000001.10
16660260	+	19991780	20006055	18		chr1:19991780-20006055	NC_000001.10
16660269	+	20208888	20239438	28	NM_015207	chr1:20208888-20239438	NC_000001.10
16660282	+	20354672	20418394	19		chr1:20354672-20418394	NC_000001.10
16660299	+	20465819	20476879	18		chr1:20465819-20476879	NC_000001.10
16660309	+	20480831	20487061	16		chr1:20480831-20487061	NC_000001.10
16660313	+	20512578	20522541	23	NM_152376	chr1:20512578-20522541	NC_000001.10
16660317	+	20525484	20529294	18		chr1:20525484-20529294	NC_000001.10
16660321	+	20569588	20571148	18		chr1:20569588-20571148	NC_000001.10
16660324	+	20617412	20681387	23	NM_001039500	chr1:20617412-20681387	NC_000001.10
16660356	+	20878932	20881513	23		chr1:20878932-20881513	NC_000001.10
16660360	+	20915441	20945401	25	NM_001785	chr1:20915441-20945401	NC_000001.10
16660367	+	20959948	20978004	20	NM_032409	chr1:20959948-20978004	NC_000001.10
16660381	+	21059373	21060445	17		chr1:21059373-21060445	NC_000001.10
16660384	+	21069480	21070455	20		chr1:21069480-21070455	NC_000001.10
16660386	+	21167734	21167795	5		chr1:21167734-21167795	NC_000001.10
16660388	+	21592575	21593744	16		chr1:21592575-21593744	NC_000001.10
16660392	+	21619783	21626362	20	NR_038404	chr1:21619783-21626362	NC_000001.10
16660396	+	21742391	21743985	8		chr1:21742391-21743985	NC_000001.10
16660401	+	21744782	21746509	19		chr1:21744782-21746509	NC_000001.10
16660403	+	21766582	21811498	13		chr1:21766582-21811498	NC_000001.10
16660436	+	21835858	21904905	29		chr1:21835858-21904905	NC_000001.10
16660455	+	21912965	21917680	16		chr1:21912965-21917680	NC_000001.10
16660458	+	22138758	22151714	17	NM_001013693	chr1:22138758-22151714	NC_000001.10
16660468	+	22303418	22325135	10		chr1:22303418-22325135	NC_000001.10
16660481	+	22314309	22314412	9		chr1:22314309-22314412	NC_000001.10
16660483	+	22328149	22339035	8		chr1:22328149-22339035	NC_000001.10
16660495	+	22337478	22337581	9		chr1:22337478-22337581	NC_000001.10
16660497	+	22351681	22357716	15	NR_023918	chr1:22351681-22357716	NC_000001.10
16660503	+	22379120	22419437	25		chr1:22379120-22419437	NC_000001.10
16660518	+	22385690	22390692	25		chr1:22385690-22390692	NC_000001.10
16660521	+	22582820	22584588	18		chr1:22582820-22584588	NC_000001.10
16660527	+	22778344	22857650	42	NM_001083621	chr1:22778344-22857650	NC_000001.10
16660552	+	22843967	22846201	21		chr1:22843967-22846201	NC_000001.10
16660555	+	22890004	22930087	21	NM_020526	chr1:22890004-22930087	NC_000001.10
16660575	+	22962999	22966175	18		chr1:22962999-22966175	NC_000001.10
16660581	+	22970118	22974603	22		chr1:22970118-22974603	NC_000001.10
16660587	+	22979255	22988031	23		chr1:22979255-22988031	NC_000001.10
16660594	+	23007533	23008941	20		chr1:23007533-23008941	NC_000001.10
16660596	+	23037331	23241823	28	NM_017449	chr1:23037331-23241823	NC_000001.10
16660620	+	23046010	23046091	15	NR_039832	chr1:23046010-23046091	NC_000001.10
16660624	+	23345941	23410184	32	NM_001009999	chr1:23345941-23410184	NC_000001.10
16660648	+	23370798	23370865	15	NR_036057	chr1:23370798-23370865	NC_000001.10
16660650	+	23489197	23489303	10		chr1:23489197-23489303	NC_000001.10
16660652	+	23490446	23490546	10		chr1:23490446-23490546	NC_000001.10
16660654	+	23695464	23698332	24	NR_033690	chr1:23695464-23698332	NC_000001.10
16660664	+	23907985	23967058	22		chr1:23907985-23967058	NC_000001.10
16660673	+	24018269	24022915	23	NM_000975	chr1:24018269-24022915	NC_000001.10
16660685	+	24069645	24088549	20		chr1:24069645-24088549	NC_000001.10
16660700	+	24104876	24115148	20	NM_020362	chr1:24104876-24115148	NC_000001.10
16660713	+	24117460	24122029	11		chr1:24117460-24122029	NC_000001.10
16660732	+	24208745	24208842	8		chr1:24208745-24208842	NC_000001.10
16660734	+	24255560	24255637	18	NR_039615	chr1:24255560-24255637	NC_000001.10
16660736	+	24285599	24289952	8	NM_017761	chr1:24285599-24289952	NC_000001.10
16660742	+	24348319	24350190	14		chr1:24348319-24350190	NC_000001.10
16660745	+	24367343	24413289	26		chr1:24367343-24413289	NC_000001.10
16660749	+	24393264	24410055	22		chr1:24393264-24410055	NC_000001.10
16660753	+	24526730	24538183	9	NR_027087	chr1:24526730-24538183	NC_000001.10
16660757	+	24645812	24690972	12	NM_198173	chr1:24645812-24690972	NC_000001.10
16660785	+	24742245	24799473	41	NM_020448	chr1:24742245-24799473	NC_000001.10
16660810	+	24828841	24863898	27	NM_001251978	chr1:24828841-24863898	NC_000001.10
16660822	+	24882567	24935819	18	NM_001010980	chr1:24882567-24935819	NC_000001.10
16660828	+	24958207	24999772	26	NM_005839	chr1:24958207-24999772	NC_000001.10
16660863	+	25071760	25170815	24	NM_013943	chr1:25071760-25170815	NC_000001.10
16660876	+	25236634	25236727	6		chr1:25236634-25236727	NC_000001.10
16660878	+	25287836	25289588	22		chr1:25287836-25289588	NC_000001.10
16660882	+	25349994	25350077	23	NR_039623	chr1:25349994-25350077	NC_000001.10
16660884	+	25367664	25373839	19		chr1:25367664-25373839	NC_000001.10
16660888	+	25534630	25535360	20		chr1:25534630-25535360	NC_000001.10
16660891	+	25598981	25656936	12		chr1:25598981-25656936	NC_000001.10
16660906	+	25664408	25688852	22	NM_014313	chr1:25664408-25688852	NC_000001.10
16660917	+	25667462	25667525	14		chr1:25667462-25667525	NC_000001.10
16660919	+	25757388	25826700	20	NM_018202	chr1:25757388-25826700	NC_000001.10
16660933	+	25870071	25895377	21	NM_015627	chr1:25870071-25895377	NC_000001.10
16660950	+	25907969	25916875	20		chr1:25907969-25916875	NC_000001.10
16660953	+	25943959	26112698	36		chr1:25943959-26112698	NC_000001.10
16660976	+	26126667	26149799	24		chr1:26126667-26149799	NC_000001.10
16660992	+	26145131	26159433	18		chr1:26145131-26159433	NC_000001.10
16661020	+	26186104	26189911	23	NM_178422	chr1:26186104-26189911	NC_000001.10
16661023	+	26203987	26204096	13		chr1:26203987-26204096	NC_000001.10
16661025	+	26290688	26290791	11		chr1:26290688-26290791	NC_000001.10
16661027	+	26332497	26332621	17		chr1:26332497-26332621	NC_000001.10
16661029	+	26332707	26332790	13		chr1:26332707-26332790	NC_000001.10
16661031	+	26346375	26362955	22	NM_004455	chr1:26346375-26362955	NC_000001.10
16661048	+	26373156	26375590	20		chr1:26373156-26375590	NC_000001.10
16661051	+	26437656	26452039	24	NM_001243533	chr1:26437656-26452039	NC_000001.10
16661058	+	26485511	26489119	24		chr1:26485511-26489119	NC_000001.10
16661063	+	26496362	26498551	20	NM_015871	chr1:26496362-26498551	NC_000001.10
16661071	+	26503894	26516377	18	NM_006314	chr1:26503894-26516377	NC_000001.10
16661102	+	26517052	26529459	23		chr1:26517052-26529459	NC_000001.10
16661117	+	26560691	26605299	37	NM_022778	chr1:26560691-26605299	NC_000001.10
16661138	+	26575392	26580855	20		chr1:26575392-26580855	NC_000001.10
16661141	+	26605667	26608013	25	NM_031286	chr1:26605667-26608013	NC_000001.10
16661149	+	26644411	26647014	21	NM_001803	chr1:26644411-26647014	NC_000001.10
16661155	+	26737269	26756219	23	NM_024674	chr1:26737269-26756219	NC_000001.10
16661164	+	26758773	26797797	22	NM_205861	chr1:26758773-26797797	NC_000001.10
16661192	+	26798902	26803133	19	NM_005517	chr1:26798902-26803133	NC_000001.10
16661206	+	26856249	26901521	24		chr1:26856249-26901521	NC_000001.10
16661253	+	26881033	26881084	10	NR_031740	chr1:26881033-26881084	NC_000001.10
16661255	+	27022522	27108601	20	NM_006015	chr1:27022522-27108601	NC_000001.10
16661284	+	27113963	27124894	20		chr1:27113963-27124894	NC_000001.10
16661298	+	27153201	27183391	20		chr1:27153201-27183391	NC_000001.10
16661314	+	27189633	27190947	20	NM_006142	chr1:27189633-27190947	NC_000001.10
16661320	+	27202624	27204736	16		chr1:27202624-27204736	NC_000001.10
16661323	+	27226729	27273353	27	NM_006600	chr1:27226729-27273353	NC_000001.10
16661342	+	27320195	27327377	23	NM_001013642	chr1:27320195-27327377	NC_000001.10
