"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","5/144","139/7913",0.109160985464513,0.603879957362113,0.56124401685516,"CCL2/CALML4/DUSP1/GSTA3/NQO1",5
"hsa04215","hsa04215","Apoptosis - multiple species","2/144","32/7913",0.114561903427062,0.603879957362113,0.56124401685516,"BIRC5/PMAIP1",2
"hsa04064","hsa04064","NF-kappa B signaling pathway","4/144","102/7913",0.11488447969328,0.603879957362113,0.56124401685516,"BCL2A1/PLAU/PTGS2/CXCL1",4
"hsa04620","hsa04620","Toll-like receptor signaling pathway","4/144","104/7913",0.121018414554436,0.620219374591486,0.5764298166935,"CXCL10/CXCL11/CXCL9/SPP1",4
"hsa04924","hsa04924","Renin secretion","3/144","69/7913",0.13049685985403,0.652484299270151,0.606416730002041,"CALML4/CLCA2/CLCA4",3
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism","2/144","36/7913",0.138985052842304,0.678379424587434,0.630483573044034,"GAD1/ADSSL1",2
"hsa03320","hsa03320","PPAR signaling pathway","3/144","76/7913",0.160303486223684,0.764237550601286,0.710279828800168,"MMP1/SLC27A2/SLC27A6",3
"hsa00130","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis","1/144","11/7913",0.183027359909465,0.813882969304897,0.756420115246143,"NQO1",1
"hsa00430","hsa00430","Taurine and hypotaurine metabolism","1/144","11/7913",0.183027359909465,0.813882969304897,0.756420115246143,"GAD1",1
"hsa04940","hsa04940","Type I diabetes mellitus","2/144","43/7913",0.183971585190383,0.813882969304897,0.756420115246143,"GAD1/GZMB",2
"hsa00071","hsa00071","Fatty acid degradation","2/144","44/7913",0.190567719642122,0.813882969304897,0.756420115246143,"ADH1C/ADH7",2
"hsa04962","hsa04962","Vasopressin-regulated water reabsorption","2/144","44/7913",0.190567719642122,0.813882969304897,0.756420115246143,"AQP3/DYNC2H1",2
"hsa05164","hsa05164","Influenza A","5/144","170/7913",0.19749750794143,0.826265084244758,0.76792801154455,"CCL2/CXCL10/IL33/TMPRSS11D/TMPRSS4",5
"hsa04114","hsa04114","Oocyte meiosis","4/144","128/7913",0.204199596825808,0.837218346985815,0.778107937378344,"CCNE2/CDK1/MAD2L1/CALML4",4
"hsa03450","hsa03450","Non-homologous end-joining","1/144","13/7913",0.212533672673836,0.854302017610519,0.793985443838274,"PRKDC",1
"hsa00533","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate","1/144","14/7913",0.226887489273199,0.894460294250112,0.831308412114353,"CHST6",1
"hsa04210","hsa04210","Apoptosis","4/144","136/7913",0.235020035908156,0.909039761531547,0.84485852034511,"BCL2A1/BIRC5/GZMB/PMAIP1",4
"hsa00603","hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series","1/144","15/7913",0.24098145072967,0.914836988881153,0.850246444094936,"FUT2",1
"hsa04640","hsa04640","Hematopoietic cell lineage","3/144","97/7913",0.259067894194824,0.948373541248907,0.881415203933516,"CD55/CR2/MS4A1",3
"hsa05215","hsa05215","Prostate cancer","3/144","97/7913",0.259067894194824,0.948373541248907,0.881415203933516,"CCNE2/MMP3/PLAU",3
"hsa00120","hsa00120","Primary bile acid biosynthesis","1/144","17/7913",0.268408412782963,0.948684907250128,0.881704586455832,"CH25H",1
"hsa00450","hsa00450","Selenocompound metabolism","1/144","17/7913",0.268408412782963,0.948684907250128,0.881704586455832,"PAPSS2",1
"hsa00100","hsa00100","Steroid biosynthesis","1/144","19/7913",0.294850942640501,0.964212029305491,0.896135441870572,"DHCR24",1
"hsa00770","hsa00770","Pantothenate and CoA biosynthesis","1/144","19/7913",0.294850942640501,0.964212029305491,0.896135441870572,"VNN3",1
"hsa05416","hsa05416","Viral myocarditis","2/144","60/7913",0.298397747503509,0.964212029305491,0.896135441870572,"DMD/CD55",2
"hsa04921","hsa04921","Oxytocin signaling pathway","4/144","153/7913",0.303596351704943,0.964212029305491,0.896135441870572,"CACNA2D1/PTGS2/CALML4/OXTR",4
"hsa00670","hsa00670","One carbon pool by folate","1/144","20/7913",0.307714062004545,0.964212029305491,0.896135441870572,"TYMS",1
"hsa04390","hsa04390","Hippo signaling pathway","4/144","154/7913",0.307716024431535,0.964212029305491,0.896135441870572,"BIRC5/CCND2/FZD7/CTGF",4
"hsa00590","hsa00590","Arachidonic acid metabolism","2/144","63/7913",0.3186150205578,0.964212029305491,0.896135441870572,"PTGS2/AKR1C3",2
"hsa04623","hsa04623","Cytosolic DNA-sensing pathway","2/144","63/7913",0.3186150205578,0.964212029305491,0.896135441870572,"CXCL10/IL33",2
"hsa04218","hsa04218","Cellular senescence","4/144","160/7913",0.332542447021005,0.964212029305491,0.896135441870572,"CCND2/CCNE2/CDK1/CALML4",4
"hsa04726","hsa04726","Serotonergic synapse","3/144","115/7913",0.348781798585049,0.964212029305491,0.896135441870572,"PTGS2/CYP4X1/DUSP1",3
"hsa04917","hsa04917","Prolactin signaling pathway","2/144","70/7913",0.365185869719828,0.964212029305491,0.896135441870572,"CCND2/SOCS1",2
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","2/144","70/7913",0.365185869719828,0.964212029305491,0.896135441870572,"CXCL1/PTPRZ1",2
"hsa00790","hsa00790","Folate biosynthesis","1/144","26/7913",0.380142994168454,0.964212029305491,0.896135441870572,"AKR1C3",1
"hsa00601","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","1/144","27/7913",0.39146027689189,0.964212029305491,0.896135441870572,"FUT2",1
"hsa00650","hsa00650","Butanoate metabolism","1/144","28/7913",0.402572338789883,0.964212029305491,0.896135441870572,"GAD1",1
"hsa04744","hsa04744","Phototransduction","1/144","28/7913",0.402572338789883,0.964212029305491,0.896135441870572,"CALML4",1
"hsa00230","hsa00230","Purine metabolism","3/144","130/7913",0.422953294465892,0.964212029305491,0.896135441870572,"ADA/PAPSS2/ADSSL1",3
"hsa00983","hsa00983","Drug metabolism - other enzymes","2/144","79/7913",0.423184744043282,0.964212029305491,0.896135441870572,"CES1/GSTA3",2
"hsa05132","hsa05132","Salmonella infection","2/144","80/7913",0.429466722249918,0.964212029305491,0.896135441870572,"CXCL1/DYNC2H1",2
"hsa01523","hsa01523","Antifolate resistance","1/144","31/7913",0.434713828188248,0.964212029305491,0.896135441870572,"TYMS",1
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection","4/144","186/7913",0.440051544850323,0.964212029305491,0.896135441870572,"ANGPT2/PTGS2/CALML4/CXCL1",4
"hsa04371","hsa04371","Apelin signaling pathway","3/144","137/7913",0.456655693165266,0.964212029305491,0.896135441870572,"SPP1/CALML4/CTGF",3
"hsa05210","hsa05210","Colorectal cancer","2/144","86/7913",0.466380716637437,0.964212029305491,0.896135441870572,"BIRC5/PMAIP1",2
"hsa04727","hsa04727","GABAergic synapse","2/144","89/7913",0.484307645631288,0.964212029305491,0.896135441870572,"GAD1/GABRP",2
"hsa03030","hsa03030","DNA replication","1/144","36/7913",0.484510791042141,0.964212029305491,0.896135441870572,"DNA2",1
"hsa05410","hsa05410","Hypertrophic cardiomyopathy (HCM)","2/144","90/7913",0.490200966480022,0.964212029305491,0.896135441870572,"CACNA2D1/DMD",2
"hsa04960","hsa04960","Aldosterone-regulated sodium reabsorption","1/144","37/7913",0.493934486115129,0.964212029305491,0.896135441870572,"SCNN1A",1
"hsa05340","hsa05340","Primary immunodeficiency","1/144","37/7913",0.493934486115129,0.964212029305491,0.896135441870572,"ADA",1
"hsa05206","hsa05206","MicroRNAs in cancer","6/144","310/7913",0.498258912250715,0.964212029305491,0.896135441870572,"CCND2/CCNE2/KIF23/PLAU/PTGS2/SOCS1",6
"hsa04514","hsa04514","Cell adhesion molecules (CAMs)","3/144","146/7913",0.49873911653809,0.964212029305491,0.896135441870572,"CNTNAP2/VCAN/CLDN10",3
"hsa05169","hsa05169","Epstein-Barr virus infection","4/144","201/7913",0.500017821808421,0.964212029305491,0.896135441870572,"CCND2/CCNE2/CXCL10/CR2",4
"hsa05203","hsa05203","Viral carcinogenesis","4/144","201/7913",0.500017821808421,0.964212029305491,0.896135441870572,"CCND2/CCNE2/CDK1/PMAIP1",4
"hsa05330","hsa05330","Allograft rejection","1/144","38/7913",0.503187080579251,0.964212029305491,0.896135441870572,"GZMB",1
"hsa05205","hsa05205","Proteoglycans in cancer","4/144","204/7913",0.511695169903445,0.964212029305491,0.896135441870572,"COL1A1/FN1/FZD7/PLAU",4
"hsa00513","hsa00513","Various types of N-glycan biosynthesis","1/144","39/7913",0.51227165967723,0.964212029305491,0.896135441870572,"CHST9",1
"hsa04350","hsa04350","TGF-beta signaling pathway","2/144","94/7913",0.513350492175023,0.964212029305491,0.896135441870572,"FBN1/GREM1",2
"hsa00260","hsa00260","Glycine, serine and threonine metabolism","1/144","40/7913",0.521191253404241,0.964212029305491,0.896135441870572,"PSAT1",1
"hsa04216","hsa04216","Ferroptosis","1/144","40/7913",0.521191253404241,0.964212029305491,0.896135441870572,"SLC39A14",1
"hsa05033","hsa05033","Nicotine addiction","1/144","40/7913",0.521191253404241,0.964212029305491,0.896135441870572,"GABRP",1
"hsa05414","hsa05414","Dilated cardiomyopathy (DCM)","2/144","96/7913",0.524665650120448,0.964212029305491,0.896135441870572,"CACNA2D1/DMD",2
"hsa04145","hsa04145","Phagosome","3/144","152/7913",0.525878790575445,0.964212029305491,0.896135441870572,"DYNC2H1/TUBB2A/TUBB4B",3
"hsa05219","hsa05219","Bladder cancer","1/144","41/7913",0.529948837490331,0.964212029305491,0.896135441870572,"MMP1",1
"hsa05332","hsa05332","Graft-versus-host disease","1/144","41/7913",0.529948837490331,0.964212029305491,0.896135441870572,"GZMB",1
"hsa04925","hsa04925","Aldosterone synthesis and secretion","2/144","98/7913",0.535804314290847,0.964212029305491,0.896135441870572,"STAR/CALML4",2
"hsa05231","hsa05231","Choline metabolism in cancer","2/144","98/7913",0.535804314290847,0.964212029305491,0.896135441870572,"SLC22A4/SLC44A4",2
"hsa04934","hsa04934","Cushing syndrome","3/144","155/7913",0.53914657155084,0.964212029305491,0.896135441870572,"CCNE2/FZD7/STAR",3
"hsa05160","hsa05160","Hepatitis C","3/144","155/7913",0.53914657155084,0.964212029305491,0.896135441870572,"CXCL10/IFIT1/CLDN10",3
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","2/144","99/7913",0.541306802166879,0.964212029305491,0.896135441870572,"CDK1/MAD2L1",2
"hsa04916","hsa04916","Melanogenesis","2/144","101/7913",0.55217697903194,0.964212029305491,0.896135441870572,"FZD7/CALML4",2
"hsa04972","hsa04972","Pancreatic secretion","2/144","102/7913",0.557544291353795,0.964212029305491,0.896135441870572,"CLCA2/CLCA4",2
"hsa02010","hsa02010","ABC transporters","1/144","45/7913",0.563416746316859,0.964212029305491,0.896135441870572,"ABCA13",1
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","4/144","219/7913",0.568125341246482,0.964212029305491,0.896135441870572,"BUB1B/CCND2/CCNE2/MAD2L1",4
"hsa04625","hsa04625","C-type lectin receptor signaling pathway","2/144","104/7913",0.568142582141272,0.964212029305491,0.896135441870572,"PTGS2/CALML4",2
"hsa04630","hsa04630","JAK-STAT signaling pathway","3/144","162/7913",0.569271566407358,0.964212029305491,0.896135441870572,"CCND2/GHR/SOCS1",3
"hsa04930","hsa04930","Type II diabetes mellitus","1/144","46/7913",0.571407085479336,0.964212029305491,0.896135441870572,"SOCS1",1
"hsa00565","hsa00565","Ether lipid metabolism","1/144","47/7913",0.579252182681697,0.964212029305491,0.896135441870572,"PLA2G7",1
"hsa00600","hsa00600","Sphingolipid metabolism","1/144","47/7913",0.579252182681697,0.964212029305491,0.896135441870572,"SGMS2",1
"hsa00520","hsa00520","Amino sugar and nucleotide sugar metabolism","1/144","48/7913",0.586954659886609,0.964212029305491,0.896135441870572,"GNE",1
"hsa04931","hsa04931","Insulin resistance","2/144","108/7913",0.588790708044439,0.964212029305491,0.896135441870572,"SLC27A2/SLC27A6",2
"hsa05225","hsa05225","Hepatocellular carcinoma","3/144","168/7913",0.594120265086538,0.964212029305491,0.896135441870572,"FZD7/GSTA3/NQO1",3
"hsa00270","hsa00270","Cysteine and methionine metabolism","1/144","49/7913",0.594517092051432,0.964212029305491,0.896135441870572,"PSAT1",1
"hsa04672","hsa04672","Intestinal immune network for IgA production","1/144","49/7913",0.594517092051432,0.964212029305491,0.896135441870572,"PIGR",1
"hsa05144","hsa05144","Malaria","1/144","49/7913",0.594517092051432,0.964212029305491,0.896135441870572,"CCL2",1
"hsa00330","hsa00330","Arginine and proline metabolism","1/144","50/7913",0.601942007965037,0.964212029305491,0.896135441870572,"CKB",1
"hsa04340","hsa04340","Hedgehog signaling pathway","1/144","50/7913",0.601942007965037,0.964212029305491,0.896135441870572,"CCND2",1
"hsa04979","hsa04979","Cholesterol metabolism","1/144","50/7913",0.601942007965037,0.964212029305491,0.896135441870572,"STAR",1
"hsa05145","hsa05145","Toxoplasmosis","2/144","112/7913",0.608704293812359,0.964212029305491,0.896135441870572,"LAMB1/SOCS1",2
"hsa05320","hsa05320","Autoimmune thyroid disease","1/144","53/7913",0.623416270721022,0.964212029305491,0.896135441870572,"GZMB",1
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes","1/144","55/7913",0.637089221944783,0.964212029305491,0.896135441870572,"PTGS2",1
"hsa04722","hsa04722","Neurotrophin signaling pathway","2/144","119/7913",0.641786969387515,0.964212029305491,0.896135441870572,"NTRK2/CALML4",2
"hsa00480","hsa00480","Glutathione metabolism","1/144","56/7913",0.643739661247399,0.964212029305491,0.896135441870572,"GSTA3",1
"hsa05134","hsa05134","Legionellosis","1/144","56/7913",0.643739661247399,0.964212029305491,0.896135441870572,"CXCL1",1
"hsa05135","hsa05135","Yersinia infection","2/144","120/7913",0.646330594620501,0.964212029305491,0.896135441870572,"CCL2/FN1",2
"hsa00240","hsa00240","Pyrimidine metabolism","1/144","57/7913",0.650269060353976,0.964212029305491,0.896135441870572,"TYMS",1
"hsa05034","hsa05034","Alcoholism","3/144","184/7913",0.655750736491648,0.964212029305491,0.896135441870572,"NTRK2/CALML4/H2AFJ",3
"hsa04370","hsa04370","VEGF signaling pathway","1/144","59/7913",0.662973450085172,0.964212029305491,0.896135441870572,"PTGS2",1
"hsa04611","hsa04611","Platelet activation","2/144","124/7913",0.664053408934358,0.964212029305491,0.896135441870572,"COL1A1/COL3A1",2
"hsa00140","hsa00140","Steroid hormone biosynthesis","1/144","60/7913",0.669152699281471,0.964212029305491,0.896135441870572,"AKR1C3",1
"hsa05217","hsa05217","Basal cell carcinoma","1/144","63/7913",0.687023419955836,0.964212029305491,0.896135441870572,"FZD7",1
"hsa05016","hsa05016","Huntington disease","3/144","193/7913",0.687374119066062,0.964212029305491,0.896135441870572,"DNAH5/DNAI2/DNALI1",3
"hsa04929","hsa04929","GnRH secretion","1/144","64/7913",0.692764646392314,0.964212029305491,0.896135441870572,"SPP1",1
"hsa04270","hsa04270","Vascular smooth muscle contraction","2/144","132/7913",0.697364743027626,0.964212029305491,0.896135441870572,"CALD1/CALML4",2
"hsa04927","hsa04927","Cortisol synthesis and secretion","1/144","65/7913",0.698401274105336,0.964212029305491,0.896135441870572,"STAR",1
"hsa05221","hsa05221","Acute myeloid leukemia","1/144","66/7913",0.703935195681385,0.964212029305491,0.896135441870572,"BCL2A1",1
"hsa04720","hsa04720","Long-term potentiation","1/144","67/7913",0.709368269699721,0.964212029305491,0.896135441870572,"CALML4",1
"hsa05130","hsa05130","Pathogenic Escherichia coli infection","3/144","201/7913",0.713636621084053,0.964212029305491,0.896135441870572,"CLDN10/TUBB2A/TUBB4B",3
"hsa05031","hsa05031","Amphetamine addiction","1/144","68/7913",0.714702321339185,0.964212029305491,0.896135441870572,"CALML4",1
"hsa04910","hsa04910","Insulin signaling pathway","2/144","137/7913",0.716775900769594,0.964212029305491,0.896135441870572,"SOCS1/CALML4",2
"hsa05211","hsa05211","Renal cell carcinoma","1/144","69/7913",0.71993914297426,0.964212029305491,0.896135441870572,"EPAS1",1
"hsa05162","hsa05162","Measles","2/144","138/7913",0.720531342976481,0.964212029305491,0.896135441870572,"CCND2/CCNE2",2
"hsa04622","hsa04622","RIG-I-like receptor signaling pathway","1/144","70/7913",0.725080494760556,0.964212029305491,0.896135441870572,"CXCL10",1
"hsa05100","hsa05100","Bacterial invasion of epithelial cells","1/144","73/7913",0.739948861306152,0.964212029305491,0.896135441870572,"FN1",1
"hsa04918","hsa04918","Thyroid hormone synthesis","1/144","74/7913",0.744725310792366,0.964212029305491,0.896135441870572,"DUOX2",1
"hsa01230","hsa01230","Biosynthesis of amino acids","1/144","75/7913",0.749414627700887,0.964212029305491,0.896135441870572,"PSAT1",1
"hsa04971","hsa04971","Gastric acid secretion","1/144","75/7913",0.749414627700887,0.964212029305491,0.896135441870572,"CALML4",1
"hsa05214","hsa05214","Glioma","1/144","75/7913",0.749414627700887,0.964212029305491,0.896135441870572,"CALML4",1
"hsa05133","hsa05133","Pertussis","1/144","76/7913",0.754018390600999,0.964212029305491,0.896135441870572,"CALML4",1
"hsa05140","hsa05140","Leishmaniasis","1/144","76/7913",0.754018390600999,0.964212029305491,0.896135441870572,"PTGS2",1
"hsa04723","hsa04723","Retrograde endocannabinoid signaling","2/144","148/7913",0.755837912222211,0.964212029305491,0.896135441870572,"PTGS2/GABRP",2
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes","2/144","149/7913",0.759149898567603,0.964212029305491,0.896135441870572,"CACNA2D1/CALML4",2
"hsa05226","hsa05226","Gastric cancer","2/144","149/7913",0.759149898567603,0.964212029305491,0.896135441870572,"CCNE2/FZD7",2
"hsa04150","hsa04150","mTOR signaling pathway","2/144","153/7913",0.772014762054484,0.964212029305491,0.896135441870572,"FZD7/GRB10",2
"hsa04662","hsa04662","B cell receptor signaling pathway","1/144","82/7913",0.77992921836904,0.964212029305491,0.896135441870572,"CR2",1
"hsa05163","hsa05163","Human cytomegalovirus infection","3/144","225/7913",0.782292150119057,0.964212029305491,0.896135441870572,"CCL2/PTGS2/CALML4",3
"hsa04146","hsa04146","Peroxisome","1/144","83/7913",0.783975980283848,0.964212029305491,0.896135441870572,"SLC27A2",1
"hsa04742","hsa04742","Taste transduction","1/144","83/7913",0.783975980283848,0.964212029305491,0.896135441870572,"SCNN1A",1
"hsa04010","hsa04010","MAPK signaling pathway","4/144","295/7913",0.790912349587798,0.964212029305491,0.896135441870572,"ANGPT2/CACNA2D1/NTRK2/DUSP1",4
"hsa04310","hsa04310","Wnt signaling pathway","2/144","160/7913",0.793099890981633,0.964212029305491,0.896135441870572,"CCND2/FZD7",2
"hsa04260","hsa04260","Cardiac muscle contraction","1/144","86/7913",0.795678165569168,0.964212029305491,0.896135441870572,"CACNA2D1",1
"hsa04217","hsa04217","Necroptosis","2/144","162/7913",0.798802262560839,0.964212029305491,0.896135441870572,"H2AFJ/IL33",2
"hsa05161","hsa05161","Hepatitis B","2/144","162/7913",0.798802262560839,0.964212029305491,0.896135441870572,"BIRC5/CCNE2",2
"hsa04014","hsa04014","Ras signaling pathway","3/144","232/7913",0.799590463326505,0.964212029305491,0.896135441870572,"ANGPT2/NTRK2/CALML4",3
"hsa04970","hsa04970","Salivary secretion","1/144","90/7913",0.81030733636466,0.96778537495989,0.899456497395328,"CALML4",1
"hsa05032","hsa05032","Morphine addiction","1/144","91/7913",0.813799058666013,0.96778537495989,0.899456497395328,"GABRP",1
"hsa04912","hsa04912","GnRH signaling pathway","1/144","93/7913",0.820592157684739,0.96778537495989,0.899456497395328,"CALML4",1
"hsa04713","hsa04713","Circadian entrainment","1/144","97/7913",0.833448701822313,0.96778537495989,0.899456497395328,"CALML4",1
"hsa04070","hsa04070","Phosphatidylinositol signaling system","1/144","99/7913",0.839529551667904,0.96778537495989,0.899456497395328,"CALML4",1
"hsa04750","hsa04750","Inflammatory mediator regulation of TRP channels","1/144","100/7913",0.842486775184646,0.96778537495989,0.899456497395328,"CALML4",1
"hsa04621","hsa04621","NOD-like receptor signaling pathway","2/144","181/7913",0.846416375122662,0.96778537495989,0.899456497395328,"CCL2/CXCL1",2
"hsa05142","hsa05142","Chagas disease (American trypanosomiasis)","1/144","102/7913",0.848239829401543,0.96778537495989,0.899456497395328,"CCL2",1
"hsa04922","hsa04922","Glucagon signaling pathway","1/144","106/7913",0.859127299391477,0.96778537495989,0.899456497395328,"CALML4",1
"hsa04066","hsa04066","HIF-1 signaling pathway","1/144","109/7913",0.866780548203419,0.96778537495989,0.899456497395328,"ANGPT2",1
"hsa04020","hsa04020","Calcium signaling pathway","2/144","193/7913",0.871000960901599,0.96778537495989,0.899456497395328,"CALML4/OXTR",2
