"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04210","hsa04210","Apoptosis","4/62","136/7913",0.0216040223584863,0.135796711967628,0.113705380834138,"BCL2A1/BIRC5/GZMB/PMAIP1",4
"hsa04215","hsa04215","Apoptosis - multiple species","2/62","32/7913",0.0257666988954756,0.154600193372854,0.129449922680619,"BIRC5/PMAIP1",2
"hsa05206","hsa05206","MicroRNAs in cancer","6/62","310/7913",0.033678897238345,0.193287584150502,0.161843670939415,"CCND2/CCNE2/KIF23/PLAU/PTGS2/SOCS1",6
"hsa05323","hsa05323","Rheumatoid arthritis","3/62","93/7913",0.0361219480539294,0.198670714296612,0.166351076564149,"CCL2/MMP1/MMP3",3
"hsa05215","hsa05215","Prostate cancer","3/62","97/7913",0.0401561022401465,0.212024219827973,0.177532241482753,"CCNE2/MMP3/PLAU",3
"hsa04940","hsa04940","Type I diabetes mellitus","2/62","43/7913",0.0444141344883249,0.222480831341915,0.186287777439402,"GAD1/GZMB",2
"hsa04064","hsa04064","NF-kappa B signaling pathway","3/62","102/7913",0.0455074427744826,0.222480831341915,0.186287777439402,"BCL2A1/PLAU/PTGS2",3
"hsa04913","hsa04913","Ovarian steroidogenesis","2/62","49/7913",0.0561506004580355,0.264709973587882,0.221647107071193,"PTGS2/STAR",2
"hsa05203","hsa05203","Viral carcinogenesis","4/62","201/7913",0.0721460935610133,0.322284338740603,0.269855307557922,"CCND2/CCNE2/CDK1/PMAIP1",4
"hsa05205","hsa05205","Proteoglycans in cancer","4/62","204/7913",0.0752937119043965,0.322284338740603,0.269855307557922,"COL1A1/FN1/FZD7/PLAU",4
"hsa00920","hsa00920","Sulfur metabolism","1/62","10/7913",0.0756879886436266,0.322284338740603,0.269855307557922,"PAPSS2",1
"hsa04114","hsa04114","Oocyte meiosis","3/62","128/7913",0.0785954876319724,0.324206386481886,0.27146467767622,"CCNE2/CDK1/MAD2L1",3
"hsa00430","hsa00430","Taurine and hypotaurine metabolism","1/62","11/7913",0.082939329236325,0.3317573169453,0.277787227107309,"GAD1",1
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","4/62","219/7913",0.0920585465332577,0.357403768893824,0.299261528978082,"BUB1B/CCND2/CCNE2/MAD2L1",4
"hsa03450","hsa03450","Non-homologous end-joining","1/62","13/7913",0.097274503933261,0.366863843405441,0.307182643999772,"PRKDC",1
"hsa04917","hsa04917","Prolactin signaling pathway","2/62","70/7913",0.104022792483926,0.381416905774396,0.31936822253837,"CCND2/SOCS1",2
"hsa04390","hsa04390","Hippo signaling pathway","3/62","154/7913",0.119538903006669,0.421182786047954,0.35266501224111,"BIRC5/CCND2/FZD7",3
"hsa04934","hsa04934","Cushing syndrome","3/62","155/7913",0.121249589922896,0.421182786047954,0.35266501224111,"CCNE2/FZD7/STAR",3
"hsa00450","hsa00450","Selenocompound metabolism","1/62","17/7913",0.125286619250436,0.424047019001475,0.355063293422288,"PAPSS2",1
"hsa04218","hsa04218","Cellular senescence","3/62","160/7913",0.129938805599918,0.42879805847973,0.359041436526089,"CCND2/CCNE2/CDK1",3
"hsa04630","hsa04630","JAK-STAT signaling pathway","3/62","162/7913",0.133476032795148,0.429727715340477,0.359819857342504,"CCND2/GHR/SOCS1",3
"hsa05210","hsa05210","Colorectal cancer","2/62","86/7913",0.145681725086852,0.447365714957994,0.374588517309325,"BIRC5/PMAIP1",2
"hsa00670","hsa00670","One carbon pool by folate","1/62","20/7913",0.145732770781771,0.447365714957994,0.374588517309325,"TYMS",1
"hsa04540","hsa04540","Gap junction","2/62","88/7913",0.151113094357386,0.453339283072159,0.379590308792478,"CDK1/GJA1",2
"hsa05410","hsa05410","Hypertrophic cardiomyopathy (HCM)","2/62","90/7913",0.156585155473026,0.459316456054211,0.384595118705679,"CACNA2D1/DMD",2
"hsa04350","hsa04350","TGF-beta signaling pathway","2/62","94/7913",0.167641289639273,0.48105761374748,0.402799437348369,"FBN1/GREM1",2
"hsa05414","hsa05414","Dilated cardiomyopathy (DCM)","2/62","96/7913",0.173220496435774,0.486491607011111,0.407349431707868,"CACNA2D1/DMD",2
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","2/62","99/7913",0.181646637164026,0.499528252201071,0.418265282943481,"CDK1/MAD2L1",2
"hsa00650","hsa00650","Butanoate metabolism","1/62","28/7913",0.197984963816473,0.533347249464784,0.446582625149938,"GAD1",1
"hsa05169","hsa05169","Epstein-Barr virus infection","3/62","201/7913",0.208277878026112,0.54489885282693,0.45625502030963,"CCND2/CCNE2/CXCL10",3
"hsa00512","hsa00512","Mucin type O-glycan biosynthesis","1/62","31/7913",0.216757764248688,0.54489885282693,0.45625502030963,"GALNT11",1
"hsa01523","hsa01523","Antifolate resistance","1/62","31/7913",0.216757764248688,0.54489885282693,0.45625502030963,"TYMS",1
"hsa05145","hsa05145","Toxoplasmosis","2/62","112/7913",0.218785145453237,0.54489885282693,0.45625502030963,"LAMB1/SOCS1",2
"hsa00410","hsa00410","beta-Alanine metabolism","1/62","33/7913",0.229032081480048,0.559856199173451,0.46877911414045,"GAD1",1
"hsa05135","hsa05135","Yersinia infection","2/62","120/7913",0.241977459380919,0.561030211549869,0.469762138857545,"CCL2/FN1",2
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism","1/62","36/7913",0.247089522353594,0.561030211549869,0.469762138857545,"GAD1",1
"hsa03030","hsa03030","DNA replication","1/62","36/7913",0.247089522353594,0.561030211549869,0.469762138857545,"DNA2",1
"hsa05340","hsa05340","Primary immunodeficiency","1/62","37/7913",0.253015693435742,0.561030211549869,0.469762138857545,"ADA",1
"hsa04611","hsa04611","Platelet activation","2/62","124/7913",0.253625101090195,0.561030211549869,0.469762138857545,"COL1A1/COL3A1",2
"hsa05330","hsa05330","Allograft rejection","1/62","38/7913",0.258895966036933,0.561030211549869,0.469762138857545,"GZMB",1
"hsa00260","hsa00260","Glycine, serine and threonine metabolism","1/62","40/7913",0.270520211986968,0.561030211549869,0.469762138857545,"PSAT1",1
"hsa04216","hsa04216","Ferroptosis","1/62","40/7913",0.270520211986968,0.561030211549869,0.469762138857545,"SLC39A14",1
"hsa00230","hsa00230","Purine metabolism","2/62","130/7913",0.271124729942681,0.561030211549869,0.469762138857545,"ADA/PAPSS2",2
"hsa05219","hsa05219","Bladder cancer","1/62","41/7913",0.276264876899556,0.561030211549869,0.469762138857545,"MMP1",1
"hsa05332","hsa05332","Graft-versus-host disease","1/62","41/7913",0.276264876899556,0.561030211549869,0.469762138857545,"GZMB",1
"hsa05162","hsa05162","Measles","2/62","138/7913",0.29444883435149,0.581525390462589,0.486923173832312,"CCND2/CCNE2",2
"hsa04930","hsa04930","Type II diabetes mellitus","1/62","46/7913",0.304327220424008,0.581525390462589,0.486923173832312,"SOCS1",1
"hsa00565","hsa00565","Ether lipid metabolism","1/62","47/7913",0.309809832898104,0.581525390462589,0.486923173832312,"PLA2G7",1
"hsa04514","hsa04514","Cell adhesion molecules (CAMs)","2/62","146/7913",0.317685397785088,0.581525390462589,0.486923173832312,"CNTNAP2/VCAN",2
"hsa00270","hsa00270","Cysteine and methionine metabolism","1/62","49/7913",0.32064783095416,0.581525390462589,0.486923173832312,"PSAT1",1
"hsa05144","hsa05144","Malaria","1/62","49/7913",0.32064783095416,0.581525390462589,0.486923173832312,"CCL2",1
"hsa04340","hsa04340","Hedgehog signaling pathway","1/62","50/7913",0.326003862805742,0.581525390462589,0.486923173832312,"CCND2",1
"hsa04979","hsa04979","Cholesterol metabolism","1/62","50/7913",0.326003862805742,0.581525390462589,0.486923173832312,"STAR",1
"hsa05226","hsa05226","Gastric cancer","2/62","149/7913",0.326360891390416,0.581525390462589,0.486923173832312,"CCNE2/FZD7",2
"hsa04150","hsa04150","mTOR signaling pathway","2/62","153/7913",0.33788624142835,0.581525390462589,0.486923173832312,"FZD7/GRB10",2
"hsa04921","hsa04921","Oxytocin signaling pathway","2/62","153/7913",0.33788624142835,0.581525390462589,0.486923173832312,"CACNA2D1/PTGS2",2
"hsa05320","hsa05320","Autoimmune thyroid disease","1/62","53/7913",0.341823916545782,0.581525390462589,0.486923173832312,"GZMB",1
"hsa05160","hsa05160","Hepatitis C","2/62","155/7913",0.343628639818803,0.581525390462589,0.486923173832312,"CXCL10/IFIT1",2
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes","1/62","55/7913",0.35216705893089,0.5853143474671,0.490095745486806,"PTGS2",1
"hsa04310","hsa04310","Wnt signaling pathway","2/62","160/7913",0.357917809046224,0.5853143474671,0.490095745486806,"CCND2/FZD7",2
"hsa00240","hsa00240","Pyrimidine metabolism","1/62","57/7913",0.362350241366792,0.5853143474671,0.490095745486806,"TYMS",1
"hsa05161","hsa05161","Hepatitis B","2/62","162/7913",0.363604367365926,0.5853143474671,0.490095745486806,"BIRC5/CCNE2",2
"hsa04370","hsa04370","VEGF signaling pathway","1/62","59/7913",0.372375897747474,0.586570227287458,0.491147319499068,"PTGS2",1
"hsa05416","hsa05416","Viral myocarditis","1/62","60/7913",0.377330404284227,0.586570227287458,0.491147319499068,"DMD",1
"hsa05164","hsa05164","Influenza A","2/62","170/7913",0.386163231095446,0.586570227287458,0.491147319499068,"CCL2/CXCL10",2
"hsa00590","hsa00590","Arachidonic acid metabolism","1/62","63/7913",0.391964186328685,0.586570227287458,0.491147319499068,"PTGS2",1
"hsa04623","hsa04623","Cytosolic DNA-sensing pathway","1/62","63/7913",0.391964186328685,0.586570227287458,0.491147319499068,"CXCL10",1
"hsa05217","hsa05217","Basal cell carcinoma","1/62","63/7913",0.391964186328685,0.586570227287458,0.491147319499068,"FZD7",1
"hsa04929","hsa04929","GnRH secretion","1/62","64/7913",0.396766507404815,0.586570227287458,0.491147319499068,"SPP1",1
"hsa04927","hsa04927","Cortisol synthesis and secretion","1/62","65/7913",0.401531506327085,0.586570227287458,0.491147319499068,"STAR",1
"hsa05221","hsa05221","Acute myeloid leukemia","1/62","66/7913",0.406259468433064,0.586570227287458,0.491147319499068,"BCL2A1",1
"hsa04010","hsa04010","MAPK signaling pathway","3/62","295/7913",0.408821673563986,0.586570227287458,0.491147319499068,"ANGPT2/CACNA2D1/NTRK2",3
"hsa04622","hsa04622","RIG-I-like receptor signaling pathway","1/62","70/7913",0.424806580688823,0.602951275816394,0.504863508458703,"CXCL10",1
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection","2/62","186/7913",0.430229415811639,0.604151945607834,0.505868853977851,"ANGPT2/PTGS2",2
"hsa05100","hsa05100","Bacterial invasion of epithelial cells","1/62","73/7913",0.438341694113902,0.608228152200869,0.509281945622737,"FN1",1
"hsa01230","hsa01230","Biosynthesis of amino acids","1/62","75/7913",0.447190501836595,0.608228152200869,0.509281945622737,"PSAT1",1
"hsa03320","hsa03320","PPAR signaling pathway","1/62","76/7913",0.451563325118827,0.608228152200869,0.509281945622737,"MMP1",1
"hsa05140","hsa05140","Leishmaniasis","1/62","76/7913",0.451563325118827,0.608228152200869,0.509281945622737,"PTGS2",1
"hsa04610","hsa04610","Complement and coagulation cascades","1/62","79/7913",0.464478617862666,0.619304823816889,0.518556670660074,"PLAU",1
"hsa05204","hsa05204","Chemical carcinogenesis","1/62","82/7913",0.477094556344112,0.629764814374228,0.527315035959282,"PTGS2",1
"hsa04260","hsa04260","Cardiac muscle contraction","1/62","86/7913",0.493461923730684,0.644920533984656,0.540005231805334,"CACNA2D1",1
"hsa04727","hsa04727","GABAergic synapse","1/62","89/7913",0.505405655555461,0.654054377777655,0.5476531871344,"GAD1",1
"hsa05163","hsa05163","Human cytomegalovirus infection","2/62","225/7913",0.530256485213064,0.679552000467228,0.569002871204617,"CCL2/PTGS2",2
"hsa04925","hsa04925","Aldosterone synthesis and secretion","1/62","98/7913",0.539598910765018,0.68348736316894,0.572298031361553,"STAR",1
"hsa04014","hsa04014","Ras signaling pathway","2/62","232/7913",0.546951729724392,0.68348736316894,0.572298031361553,"ANGPT2/NTRK2",2
"hsa04916","hsa04916","Melanogenesis","1/62","101/7913",0.550471310923857,0.68348736316894,0.572298031361553,"FZD7",1
"hsa05142","hsa05142","Chagas disease (American trypanosomiasis)","1/62","102/7913",0.554038998932398,0.68348736316894,0.572298031361553,"CCL2",1
"hsa04625","hsa04625","C-type lectin receptor signaling pathway","1/62","104/7913",0.561091003424698,0.685777893074631,0.574215939177323,"PTGS2",1
"hsa04066","hsa04066","HIF-1 signaling pathway","1/62","109/7913",0.578244557112507,0.700259463659183,0.586341656173957,"ANGPT2",1
"hsa04726","hsa04726","Serotonergic synapse","1/62","115/7913",0.597959832287795,0.717551798745353,0.600820884116923,"PTGS2",1
"hsa01200","hsa01200","Carbon metabolism","1/62","117/7913",0.604327871253376,0.718660171220231,0.601748947193974,"PSAT1",1
"hsa04722","hsa04722","Neurotrophin signaling pathway","1/62","119/7913",0.610596646349518,0.719631761769075,0.602562479950182,"NTRK2",1
"hsa04380","hsa04380","Osteoclast differentiation","1/62","128/7913",0.637618026643279,0.731776701970622,0.612731688252913,"SOCS1",1
"hsa04068","hsa04068","FoxO signaling pathway","1/62","131/7913",0.646208417714054,0.731776701970622,0.612731688252913,"CCND2",1
"hsa04650","hsa04650","Natural killer cell mediated cytotoxicity","1/62","131/7913",0.646208417714054,0.731776701970622,0.612731688252913,"GZMB",1
"hsa04270","hsa04270","Vascular smooth muscle contraction","1/62","132/7913",0.649027111893151,0.731776701970622,0.612731688252913,"CALD1",1
"hsa04120","hsa04120","Ubiquitin mediated proteolysis","1/62","136/7913",0.660082611719744,0.731776701970622,0.612731688252913,"SOCS1",1
"hsa04371","hsa04371","Apelin signaling pathway","1/62","137/7913",0.662792509890423,0.731776701970622,0.612731688252913,"SPP1",1
"hsa04910","hsa04910","Insulin signaling pathway","1/62","137/7913",0.662792509890423,0.731776701970622,0.612731688252913,"SOCS1",1
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","1/62","139/7913",0.668148695672499,0.731776701970622,0.612731688252913,"CCL2",1
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells","1/62","140/7913",0.670795310139737,0.731776701970622,0.612731688252913,"FZD7",1
"hsa05224","hsa05224","Breast cancer","1/62","147/7913",0.688748952138052,0.738453974477936,0.618322705902578,"FZD7",1
"hsa04723","hsa04723","Retrograde endocannabinoid signaling","1/62","148/7913",0.691233830449594,0.738453974477936,0.618322705902578,"PTGS2",1
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes","1/62","149/7913",0.69369918814594,0.738453974477936,0.618322705902578,"CACNA2D1",1
"hsa05225","hsa05225","Hepatocellular carcinoma","1/62","168/7913",0.737026013463181,0.778299470217119,0.651686159272707,"FZD7",1
"hsa04621","hsa04621","NOD-like receptor signaling pathway","1/62","181/7913",0.76313559552553,0.799056005679467,0.669066033463669,"CCL2",1
"hsa05034","hsa05034","Alcoholism","1/62","184/7913",0.768788732737063,0.799056005679467,0.669066033463669,"NTRK2",1
"hsa04015","hsa04015","Rap1 signaling pathway","1/62","210/7913",0.812536359867974,0.829596830191662,0.694638494179621,"ANGPT2",1
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection","1/62","212/7913",0.815542128917575,0.829596830191662,0.694638494179621,"CDK1",1
"hsa04810","hsa04810","Regulation of actin cytoskeleton","1/62","213/7913",0.817027181249364,0.829596830191662,0.694638494179621,"FN1",1
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction","1/62","340/7913",0.93502045779002,0.942158018536508,0.788888293032961,"GHR",1
"hsa05168","hsa05168","Herpes simplex virus 1 infection","1/62","491/7913",0.981454276206269,0.981454276206269,0.821791858067451,"CCL2",1
